iter	Passed	Remaining
0	15	15691
1	31	15572
2	47	15748
3	62	15668
4	78	15532
5	93	15449
6	108	15460
7	124	15417
8	139	15377
9	155	15383
10	170	15329
11	185	15300
12	200	15252
13	215	15202
14	231	15177
15	246	15161
16	261	15120
17	276	15077
18	291	15071
19	306	15041
20	323	15058
21	338	15039
22	353	15030
23	369	15042
24	385	15020
25	400	14995
26	415	14971
27	430	14950
28	445	14910
29	459	14868
30	474	14845
31	490	14842
32	505	14825
33	520	14797
34	536	14790
35	552	14796
36	568	14803
37	583	14777
38	601	14809
39	617	14811
40	632	14790
41	647	14773
42	662	14749
43	678	14731
44	693	14723
45	709	14706
46	724	14691
47	739	14671
48	755	14658
49	770	14637
50	785	14619
51	800	14599
52	816	14593
53	832	14585
54	848	14583
55	865	14595
56	881	14583
57	896	14568
58	912	14551
59	927	14536
60	943	14519
61	958	14500
62	973	14484
63	989	14473
64	1005	14457
65	1020	14442
66	1035	14423
67	1051	14409
68	1066	14391
69	1082	14378
70	1098	14373
71	1113	14355
72	1129	14340
73	1145	14331
74	1160	14315
75	1176	14297
76	1191	14279
77	1206	14267
78	1222	14250
79	1237	14234
80	1253	14222
81	1269	14207
82	1284	14195
83	1300	14181
84	1316	14172
85	1333	14175
86	1350	14171
87	1366	14159
88	1382	14151
89	1398	14137
90	1414	14125
91	1429	14105
92	1445	14092
93	1460	14075
94	1475	14058
95	1491	14042
96	1506	14024
97	1521	14005
98	1537	13995
99	1553	13985
100	1569	13972
101	1585	13958
102	1601	13948
103	1617	13934
104	1633	13920
105	1648	13904
106	1664	13892
107	1680	13879
108	1696	13867
109	1711	13850
110	1727	13833
111	1742	13814
112	1757	13796
113	1773	13783
114	1788	13766
115	1804	13749
116	1819	13730
117	1834	13712
118	1850	13698
119	1865	13681
120	1881	13664
121	1896	13649
122	1912	13637
123	1929	13629
124	1946	13625
125	1962	13613
126	1978	13597
127	1994	13585
128	2010	13575
129	2025	13558
130	2041	13544
131	2058	13536
132	2074	13526
133	2090	13508
134	2105	13490
135	2121	13476
136	2136	13460
137	2152	13446
138	2168	13430
139	2183	13413
140	2199	13397
141	2214	13378
142	2229	13363
143	2246	13352
144	2262	13342
145	2278	13330
146	2294	13315
147	2310	13299
148	2325	13283
149	2342	13272
150	2357	13254
151	2372	13238
152	2389	13226
153	2404	13211
154	2420	13196
155	2436	13184
156	2453	13171
157	2469	13157
158	2484	13141
159	2499	13124
160	2515	13110
161	2531	13095
162	2547	13079
163	2562	13063
164	2578	13047
165	2594	13035
166	2610	13021
167	2626	13008
168	2642	12995
169	2659	12982
170	2674	12964
171	2689	12949
172	2706	12938
173	2722	12923
174	2738	12907
175	2753	12892
176	2769	12875
177	2784	12857
178	2799	12841
179	2815	12824
180	2831	12812
181	2847	12796
182	2863	12783
183	2879	12767
184	2894	12753
185	2910	12737
186	2926	12723
187	2942	12710
188	2958	12694
189	2974	12680
190	2989	12663
191	3005	12646
192	3020	12630
193	3035	12613
194	3051	12597
195	3068	12585
196	3083	12568
197	3099	12553
198	3114	12535
199	3130	12522
200	3146	12507
201	3161	12490
202	3177	12476
203	3194	12463
204	3210	12449
205	3225	12433
206	3241	12417
207	3257	12402
208	3273	12388
209	3289	12373
210	3304	12357
211	3321	12344
212	3336	12329
213	3352	12312
214	3368	12299
215	3384	12285
216	3401	12272
217	3417	12258
218	3434	12247
219	3450	12235
220	3466	12220
221	3483	12207
222	3499	12192
223	3514	12176
224	3531	12162
225	3546	12144
226	3561	12129
227	3577	12113
228	3593	12098
229	3608	12081
230	3624	12066
231	3639	12049
232	3655	12033
233	3672	12021
234	3687	12003
235	3703	11988
236	3719	11973
237	3734	11956
238	3749	11939
239	3765	11923
240	3781	11907
241	3796	11891
242	3811	11874
243	3827	11857
244	3842	11841
245	3858	11827
246	3873	11810
247	3890	11796
248	3906	11782
249	3922	11768
250	3938	11752
251	3953	11735
252	3969	11719
253	3985	11706
254	4001	11689
255	4016	11673
256	4032	11658
257	4048	11643
258	4063	11626
259	4079	11610
260	4094	11593
261	4109	11576
262	4125	11561
263	4141	11546
264	4157	11532
265	4173	11516
266	4189	11500
267	4205	11485
268	4220	11469
269	4235	11452
270	4251	11437
271	4267	11422
272	4283	11406
273	4298	11390
274	4314	11374
